ID,TestName,Status,Type,US_ID,TC_ID,Artifact,ExecutionTime
390,testGetSinglePost,PASS,API,US202,Get single post by ID,"artifacts/api/testGetSinglePost_20250925_200407.json",2025-09-25 20:04:07
391,testNavigateToHomePage,PASS,UI,US109,Navigate to Home Page,"artifacts/screenshots/testNavigateToHomePage_20250925_200409.png",2025-09-25 20:04:10
392,testPurchasePageContainsForm,PASS,UI,US105,Verify Purchase Page Contains Form,"artifacts/screenshots/testPurchasePageContainsForm_20250925_200410.png",2025-09-25 20:04:10
393,testFlightSelectionPage,PASS,UI,US110,Verify Flight Selection Page UI Elements,"artifacts/screenshots/testFlightSelectionPage_20250925_200410.png",2025-09-25 20:04:10
394,testHomePageContainsDepartureAndDestination,PASS,UI,US102,Verify Departure and Destination fields exist on Home Page,"artifacts/screenshots/testHomePageContainsDepartureAndDestination_20250925_200410.png",2025-09-25 20:04:10
395,testConfirmationPage,FAIL,UI,US108,Verify Confirmation Page,"artifacts/screenshots/testConfirmationPage_20250925_200411.png",2025-09-25 20:04:11
396,testHomePageTitle,PASS,UI,US101,Verify Home Page Title,"artifacts/screenshots/testHomePageTitle_20250925_200411.png",2025-09-25 20:04:11
397,testFlightSearchNavigation,PASS,UI,US103,Verify Flight Search Navigation from Home Page,"artifacts/screenshots/testFlightSearchNavigation_20250925_200411.png",2025-09-25 20:04:11
398,testSelectFirstFlight,PASS,UI,US104,Select First Flight from Flights Page,"artifacts/screenshots/testSelectFirstFlight_20250925_200412.png",2025-09-25 20:04:12
399,testFillPurchaseForm,PASS,UI,US106,Fill Purchase Form,"artifacts/screenshots/testFillPurchaseForm_20250925_200412.png",2025-09-25 20:04:12
400,testPurchaseFlight,PASS,UI,US107,Purchase Flight,"artifacts/screenshots/testPurchaseFlight_20250925_200413.png",2025-09-25 20:04:13
401,testDeletePost,PASS,API,US206,Delete a post,"artifacts/api/testDeletePost_20250925_200957.json",2025-09-25 20:10:00
402,testGetAllUsers,PASS,API,US207,Get all users,"artifacts/api/testGetAllUsers_20250925_201001.json",2025-09-25 20:10:01
403,testGetCommentsForPost,PASS,API,US209,Get comments for a post,"artifacts/api/testGetCommentsForPost_20250925_201001.json",2025-09-25 20:10:01
404,testCreatePost,PASS,API,US203,Create a new post,"artifacts/api/testCreatePost_20250925_201001.json",2025-09-25 20:10:01
405,testGetSingleUser,PASS,API,US208,Get single user by ID,"artifacts/api/testGetSingleUser_20250925_201001.json",2025-09-25 20:10:01
406,testPatchPost,PASS,API,US205,Patch an existing post,"artifacts/api/testPatchPost_20250925_201001.json",2025-09-25 20:10:01
407,testCreateComment,PASS,API,US210,Create a comment,"artifacts/api/testCreateComment_20250925_201001.json",2025-09-25 20:10:01
408,testUpdatePost,PASS,API,US204,Update an existing post,"artifacts/api/testUpdatePost_20250925_201001.json",2025-09-25 20:10:01
409,testGetSinglePost,PASS,API,US202,Get single post by ID,"artifacts/api/testGetSinglePost_20250925_201001.json",2025-09-25 20:10:01
410,testGetAllPosts,PASS,API,US201,Get all posts,"artifacts/api/testGetAllPosts_20250925_201001.json",2025-09-25 20:10:01
411,testConfirmationPage,PASS,UI,US108,Verify Confirmation Page,"artifacts/screenshots/testConfirmationPage_20250925_201002.png",2025-09-25 20:10:02
412,testHomePageTitle,PASS,UI,US101,Verify Home Page Title,"artifacts/screenshots/testHomePageTitle_20250925_201002.png",2025-09-25 20:10:02
413,testNavigateToHomePage,PASS,UI,US109,Navigate to Home Page,"artifacts/screenshots/testNavigateToHomePage_20250925_201002.png",2025-09-25 20:10:02
414,testHomePageContainsDepartureAndDestination,PASS,UI,US102,Verify Departure and Destination fields exist on Home Page,"artifacts/screenshots/testHomePageContainsDepartureAndDestination_20250925_201002.png",2025-09-25 20:10:02
415,testPurchasePageContainsForm,PASS,UI,US105,Verify Purchase Page Contains Form,"artifacts/screenshots/testPurchasePageContainsForm_20250925_201003.png",2025-09-25 20:10:03
416,testSelectFirstFlight,PASS,UI,US104,Select First Flight from Flights Page,"artifacts/screenshots/testSelectFirstFlight_20250925_201003.png",2025-09-25 20:10:03
417,testFlightSelectionPage,PASS,UI,US110,Verify Flight Selection Page UI Elements,"artifacts/screenshots/testFlightSelectionPage_20250925_201003.png",2025-09-25 20:10:03
418,testFlightSearchNavigation,PASS,UI,US103,Verify Flight Search Navigation from Home Page,"artifacts/screenshots/testFlightSearchNavigation_20250925_201004.png",2025-09-25 20:10:04
419,testPurchaseFlight,PASS,UI,US107,Purchase Flight,"artifacts/screenshots/testPurchaseFlight_20250925_201005.png",2025-09-25 20:10:05
420,testFillPurchaseForm,PASS,UI,US106,Fill Purchase Form,"artifacts/screenshots/testFillPurchaseForm_20250925_201005.png",2025-09-25 20:10:05
421,testDeletePost,PASS,API,US206,Delete a post,"artifacts/api/testDeletePost_20250925_202523.json",2025-09-25 20:25:24
422,testGetAllPosts,PASS,API,US201,Get all posts,"artifacts/api/testGetAllPosts_20250925_202526.json",2025-09-25 20:25:26
423,testGetSingleUser,PASS,API,US208,Get single user by ID,"artifacts/api/testGetSingleUser_20250925_202526.json",2025-09-25 20:25:26
424,testPatchPost,PASS,API,US205,Patch an existing post,"artifacts/api/testPatchPost_20250925_202526.json",2025-09-25 20:25:26
